,Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Quality_label
0,0.001660121,0.5910131679999999,147.6083726,38.18634497,0.000421253,0.000612033,2286.523413,0.035407171,0.593081227,1.010384969,Pass
1,1.601748949,0.015051685,0.035864442999999996,51.13032624,0.000909187,0.002397012,2286.523413,0.035407171,0.593081227,1.010384969,Fail
2,0.098038764,69.23368456,0.08092026,0.11226532,0.000909187,0.00197229,2286.523413,0.035407171,0.593081227,1.010384969,Fail
3,18.18185974,0.047325070999999996,0.018061277,1.098102095,0.000909187,0.002397012,2286.523413,0.035407171,0.593081227,1.010384969,Fail
4,0.012085348000000001,0.008748659,0.005508504,524.3273958000001,0.000909187,0.002397012,2286.523413,0.035407171,0.593081227,1.010384969,Fail
5,0.004062021,14.55648307,0.786944931,0.010545003,0.000524811,0.001622824,2286.523413,0.035407171,0.593081227,1.010384969,Good
6,0.438449218,1.232558862,2.8826985030000003,0.610756936,1.6006542119999998,0.46403717200000005,0.600826895,17.8500214,0.051849507999999996,0.010191934,Good
7,48159.9174,0.002986741,14.86381255,0.063287291,1.4340604430000001,0.314162296,0.600826895,17.8500214,0.051849507999999996,0.010191934,Good
8,1.456600828,52.38157831,20.6252828,366.07483060000004,1.4340604430000001,0.258496524,0.600826895,17.8500214,0.051849507999999996,0.010191934,Pass
9,0.00010855799999999999,4.784653655,31.91667163,20.672387699999998,1.284805512,0.17500723199999998,0.600826895,17.8500214,0.051849507999999996,0.010191934,Good
10,12.46032336,75.94033719,0.051240926,0.710990045,1.6006542119999998,0.6854116490000001,0.600826895,17.8500214,0.051849507999999996,0.010191934,Pass
11,0.778408827,9.256196571,74.33593499,2.98212341,1.6006542119999998,0.6854116490000001,0.600826895,17.8500214,0.051849507999999996,0.010191934,Good
12,0.000757851,0.022673385,199.6565815,3.761593299,1.6006542119999998,0.6854116490000001,0.600826895,17.8500214,0.051849507999999996,0.010191934,Excellent
13,87.02416863,0.077502272,228.0043906,0.732291837,1.786601059,0.8330111920000001,0.600826895,17.8500214,0.051849507999999996,0.010191934,Pass
14,2.8507696439999997,1263.088796,5.224136842,33.25721796,1.6006542119999998,0.46403717200000005,0.600826895,17.8500214,0.051849507999999996,0.010191934,Good
15,0.002538588,4.619355482,38.40890102,0.526750198,2.2258080959999997,1.230409133,0.600826895,17.8500214,77.59848817,0.05262547099999999,Good
16,0.234520554,16.31074551,2264.226344,375.6405822,1.284805512,3.965022677,0.600826895,17.8500214,77.59848817,0.05262547099999999,Fail
17,13.29663283,0.015195613,476.8418065,1.2920700059999999,2.2258080959999997,1.230409133,0.600826895,17.8500214,77.59848817,0.05262547099999999,Fail
18,0.220540441,262.19359280000003,4.283586535,1.5397525459999999,3.45468122,1.230409133,0.600826895,17.8500214,6.783966877999999,0.377331664,Excellent
19,0.20416362600000001,5.166549651,0.299501005,0.051690713,3.85600905,5.856584117000001,0.600826895,17.8500214,6.783966877999999,0.377331664,Excellent
20,35.59793701,0.412560671,0.062600934,51.42670094,3.85600905,5.856584117000001,0.600826895,17.8500214,6.783966877999999,0.377331664,Excellent
21,1.3496698480000002,0.0055612909999999995,73.36344503,0.606519316,5.362017666,3.965022677,0.600826895,17.8500214,6.783966877999999,0.377331664,Good
22,0.029587956000000002,1.8533469180000002,1.437164389,1505.668106,5.9849193970000005,2.6843983660000004,0.600826895,17.8500214,6.783966877999999,0.377331664,Excellent
23,41.99098554,0.24105462600000002,81.85109043,0.03134104,4.303958845,2.6843983660000004,0.600826895,17.8500214,6.783966877999999,0.377331664,Pass
24,0.318964175,0.000280997,0.0013958070000000002,0.000868602,5.362017666,7.117766557,0.600826895,17.8500214,6.783966877999999,0.377331664,Excellent
25,0.12628666300000002,0.14532150900000002,0.022314482000000004,0.14591447300000002,5.362017666,7.117766557,0.600826895,17.8500214,6.783966877999999,0.377331664,Pass
26,0.18401088300000001,2.1460571980000003,2.399497309,1999.715246,3.095123009,1.495370817,0.600826895,17.8500214,6.783966877999999,0.377331664,Excellent
27,0.055857791,0.022869717999999997,1122.3960029999998,0.001256164,3.095123009,1.495370817,0.600826895,17.8500214,6.783966877999999,0.377331664,Good
28,0.004220206,0.019195212,2.0471424540000003,0.003748698,3.095123009,1.81739051,0.600826895,17.8500214,6.783966877999999,0.377331664,Excellent
29,12.62626383,4.368144508,0.21611664,1.851174365,3.095123009,2.208755332,0.600826895,17.8500214,6.783966877999999,0.377331664,Excellent
30,3.0095797589999997,5.555737795,2185.442652,149.7757311,3.45468122,2.6843983660000004,0.600826895,17.8500214,6.783966877999999,0.377331664,Pass
31,0.038278498,2.2603182509999997,227.3771352,1.8265359030000001,3.45468122,2.6843983660000004,0.600826895,17.8500214,6.783966877999999,0.377331664,Excellent
